/all the vertces required for a sphere
15,0,0
-15,0,0
0,15,0
0,15,0
0,-15,0
0,-15,0
15,1,0
-15,1,0
15,-1,0
-15,-1,0
1,15,0
-1,15,0
1,-15,0
-1,-15,0
15,2,0
-15,2,0
15,-2,0
-15,-2,0
2,15,0
-2,15,0
2,-15,0
-2,-15,0
15,3,0
-15,3,0
15,-3,0
-15,-3,0
3,15,0
-3,15,0
3,-15,0
-3,-15,0
14,4,0
-14,4,0
14,-4,0
-14,-4,0
4,14,0
-4,14,0
4,-14,0
-4,-14,0
14,5,0
-14,5,0
14,-5,0
-14,-5,0
5,14,0
-5,14,0
5,-14,0
-5,-14,0
14,6,0
-14,6,0
14,-6,0
-14,-6,0
6,14,0
-6,14,0
6,-14,0
-6,-14,0
13,7,0
-13,7,0
13,-7,0
-13,-7,0
7,13,0
-7,13,0
7,-13,0
-7,-13,0
13,8,0
-13,8,0
13,-8,0
-13,-8,0
8,13,0
-8,13,0
8,-13,0
-8,-13,0
12,9,0
-12,9,0
12,-9,0
-12,-9,0
9,12,0
-9,12,0
9,-12,0
-9,-12,0
11,10,0
-11,10,0
11,-10,0
-11,-10,0
10,11,0
-10,11,0
10,-11,0
-10,-11,0
10,11,0
-10,11,0
10,-11,0
-10,-11,0
11,10,0
-11,10,0
11,-10,0
-11,-10,0
15,0,0
-15,0,0
0,14,-6
0,14,-6
0,-14,6
0,-14,6
15,1,0
-15,1,0
15,-1,0
-15,-1,0
1,14,-6
-1,14,-6
1,-14,6
-1,-14,6
15,2,-1
-15,2,-1
15,-2,1
-15,-2,1
2,14,-6
-2,14,-6
2,-14,6
-2,-14,6
15,3,-1
-15,3,-1
15,-3,1
-15,-3,1
3,14,-6
-3,14,-6
3,-14,6
-3,-14,6
14,4,-2
-14,4,-2
14,-4,2
-14,-4,2
4,13,-5
-4,13,-5
4,-13,5
-4,-13,5
14,5,-2
-14,5,-2
14,-5,2
-14,-5,2
5,13,-5
-5,13,-5
5,-13,5
-5,-13,5
14,6,-2
-14,6,-2
14,-6,2
-14,-6,2
6,13,-5
-6,13,-5
6,-13,5
-6,-13,5
13,6,-3
-13,6,-3
13,-6,3
-13,-6,3
7,12,-5
-7,12,-5
7,-12,5
-7,-12,5
13,7,-3
-13,7,-3
13,-7,3
-13,-7,3
8,12,-5
-8,12,-5
8,-12,5
-8,-12,5
12,8,-3
-12,8,-3
12,-8,3
-12,-8,3
9,11,-5
-9,11,-5
9,-11,5
-9,-11,5
11,9,-4
-11,9,-4
11,-9,4
-11,-9,4
10,10,-4
-10,10,-4
10,-10,4
-10,-10,4
10,10,-4
-10,10,-4
10,-10,4
-10,-10,4
11,9,-4
-11,9,-4
11,-9,4
-11,-9,4
15,0,0
-15,0,0
0,11,-11
0,11,-11
0,-11,11
0,-11,11
15,1,0
-15,1,0
15,-1,0
-15,-1,0
1,11,-11
-1,11,-11
1,-11,11
-1,-11,11
15,1,-2
-15,1,-2
15,-1,2
-15,-1,2
2,11,-11
-2,11,-11
2,-11,11
-2,-11,11
15,2,-2
-15,2,-2
15,-2,2
-15,-2,2
3,11,-11
-3,11,-11
3,-11,11
-3,-11,11
14,3,-3
-14,3,-3
14,-3,3
-14,-3,3
4,10,-10
-4,10,-10
4,-10,10
-4,-10,10
14,4,-4
-14,4,-4
14,-4,4
-14,-4,4
5,10,-10
-5,10,-10
5,-10,10
-5,-10,10
14,5,-4
-14,5,-4
14,-5,4
-14,-5,4
6,10,-10
-6,10,-10
6,-10,10
-6,-10,10
13,4,-5
-13,4,-5
13,-4,5
-13,-4,5
7,9,-9
-7,9,-9
7,-9,9
-7,-9,9
13,5,-5
-13,5,-5
13,-5,5
-13,-5,5
8,9,-9
-8,9,-9
8,-9,9
-8,-9,9
12,6,-6
-12,6,-6
12,-6,6
-12,-6,6
9,8,-9
-9,8,-9
9,-8,9
-9,-8,9
11,7,-7
-11,7,-7
11,-7,7
-11,-7,7
10,8,-8
-10,8,-8
10,-8,8
-10,-8,8
10,8,-8
-10,8,-8
10,-8,8
-10,-8,8
11,7,-7
-11,7,-7
11,-7,7
-11,-7,7
15,0,0
-15,0,0
0,6,-14
0,6,-14
0,-6,14
0,-6,14
15,1,0
-15,1,0
15,-1,0
-15,-1,0
1,6,-14
-1,6,-14
1,-6,14
-1,-6,14
15,0,-2
-15,0,-2
15,0,2
-15,0,2
2,6,-14
-2,6,-14
2,-6,14
-2,-6,14
15,1,-3
-15,1,-3
15,-1,3
-15,-1,3
3,6,-14
-3,6,-14
3,-6,14
-3,-6,14
14,2,-4
-14,2,-4
14,-2,4
-14,-2,4
4,5,-13
-4,5,-13
4,-5,13
-4,-5,13
14,2,-5
-14,2,-5
14,-2,5
-14,-2,5
5,5,-13
-5,5,-13
5,-5,13
-5,-5,13
14,3,-6
-14,3,-6
14,-3,6
-14,-3,6
6,5,-13
-6,5,-13
6,-5,13
-6,-5,13
13,2,-6
-13,2,-6
13,-2,6
-13,-2,6
7,5,-12
-7,5,-12
7,-5,12
-7,-5,12
13,3,-7
-13,3,-7
13,-3,7
-13,-3,7
8,5,-12
-8,5,-12
8,-5,12
-8,-5,12
12,3,-8
-12,3,-8
12,-3,8
-12,-3,8
9,4,-11
-9,4,-11
9,-4,11
-9,-4,11
11,4,-9
-11,4,-9
11,-4,9
-11,-4,9
10,4,-10
-10,4,-10
10,-4,10
-10,-4,10
10,4,-10
-10,4,-10
10,-4,10
-10,-4,10
11,4,-9
-11,4,-9
11,-4,9
-11,-4,9
15,0,0
-15,0,0
0,0,-15
0,0,-15
0,0,15
0,0,15
15,1,0
-15,1,0
15,-1,0
-15,-1,0
1,0,-15
-1,0,-15
1,0,15
-1,0,15
15,-1,-2
-15,-1,-2
15,1,2
-15,1,2
2,0,-15
-2,0,-15
2,0,15
-2,0,15
15,0,-3
-15,0,-3
15,0,3
-15,0,3
3,0,-15
-3,0,-15
3,0,15
-3,0,15
14,0,-4
-14,0,-4
14,0,4
-14,0,4
4,0,-14
-4,0,-14
4,0,14
-4,0,14
14,0,-5
-14,0,-5
14,0,5
-14,0,5
5,0,-14
-5,0,-14
5,0,14
-5,0,14
14,0,-7
-14,0,-7
14,0,7
-14,0,7
6,0,-14
-6,0,-14
6,0,14
-6,0,14
13,0,-6
-13,0,-6
13,0,6
-13,0,6
7,0,-13
-7,0,-13
7,0,13
-7,0,13
13,0,-8
-13,0,-8
13,0,8
-13,0,8
8,0,-13
-8,0,-13
8,0,13
-8,0,13
12,0,-9
-12,0,-9
12,0,9
-12,0,9
9,-1,-12
-9,-1,-12
9,1,12
-9,1,12
11,0,-10
-11,0,-10
11,0,10
-11,0,10
10,0,-11
-10,0,-11
10,0,11
-10,0,11
10,0,-11
-10,0,-11
10,0,11
-10,0,11
11,0,-10
-11,0,-10
11,0,10
-11,0,10
15,0,0
-15,0,0
0,-6,-14
0,-6,-14
0,6,14
0,6,14
15,1,0
-15,1,0
15,-1,0
-15,-1,0
1,-6,-14
-1,-6,-14
1,6,14
-1,6,14
15,-2,-1
-15,-2,-1
15,2,1
-15,2,1
2,-6,-14
-2,-6,-14
2,6,14
-2,6,14
15,-1,-3
-15,-1,-3
15,1,3
-15,1,3
3,-6,-14
-3,-6,-14
3,6,14
-3,6,14
14,-2,-4
-14,-2,-4
14,2,4
-14,2,4
4,-5,-13
-4,-5,-13
4,5,13
-4,5,13
14,-2,-5
-14,-2,-5
14,2,5
-14,2,5
5,-5,-13
-5,-5,-13
5,5,13
-5,5,13
14,-3,-6
-14,-3,-6
14,3,6
-14,3,6
6,-5,-13
-6,-5,-13
6,5,13
-6,5,13
13,-2,-6
-13,-2,-6
13,2,6
-13,2,6
7,-5,-12
-7,-5,-12
7,5,12
-7,5,12
13,-3,-7
-13,-3,-7
13,3,7
-13,3,7
8,-5,-12
-8,-5,-12
8,5,12
-8,5,12
12,-3,-8
